# plane.utils.path_validator.sanitize_filename, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not changeA result of - means the function returned None, which the caller replaces with the placeholder. Do not edit by hand.
'report.pdf'	'report.pdf'
'\tb\x00\x00b/'	-
'\\\t\x00\x7f\x7f... \\/\\'	-
'/\t..... \x7f.'	'.'
'.\\ '	-
'.b'	'b'
'...\x00/\t.b\x00'	'b'
'\\'	-
'\x00./'	-
'ab\x00b ..\\  '	-
' a./...b'	'b'
'a \\../\t.\\\tb/'	-
'\t./\ta\x7f\\...\\a'	'a'
'b/b/\\\t\t/'	-
'b\x7f\\\x00///\\'	-
'/\\\\'	-
'../\\\\\t '	-
'..../a'	'a'
'a\\..\x00b /'	-
'bb.\\.\\ \\b\\ '	-
'\x00\\. \x7fb/\x7f.'	-
'../../\\ /./'	-
'b./... ......'	-
'//'	-
'\x00 '	-
'\x7f/\x00\\\x00 \x7fb/\t\t/'	-
'..\x7f.\t../.\\\\\\\\\\'	-
'\\a\t\\'	-
'\x00ba\t.\\/...b \x7f'	'b'
'\\\t.\\\t/\t/\t'	-
'.\\ //\x00./'	-
'/// \x00...\t.b\x7f\t'	'b'
'\t //.\t.\\'	-
'a./'	-
'\t'	-
'\t./. b\x00'	'b'
'\x00\t\\..a \t\t'	'a'
' \t\\..\ta\t\\\\ /.'	-
'b.\x7f\\..\\'	-
'a/.//..\x7f\x7fb/'	-
'/ \\..'	-
'/\x7f\\\\/...'	-
'.b.\\bb...'	'bb.'
'.b\t  '	'b'
'..b\t\x00a\t../\\'	-
'a.//'	-
'//\\.'	-
'\\a./\t\t\x00 ..b'	'b'
'../..a.\x7f./a.\x00'	'a.'
'.a\\'	-
' '	-
'\t.a\x00/'	-
'..\\./a./\\'	-
'\x7fa\t/'	-
'a \t'	'a'
'/ab/.a.....'	'a.'
'\t\\\t \\ .\x7f'	-
'.\x7f \t\\.\ta..\\'	-
'b\\\\'	-
'..\x7f/.b.\\/..\x7f'	-
'a./..\x7f\\.\\\t\x7f'	-
'\x00\\..a'	'a'
'//a .ab'	'a .ab'
'\tb\\.a'	'a'
'b/.'	-
'.. a\t'	'a'
'\\\\\t/..a\\./'	-
'\x00...aa'	'aa'
'\\.\x00\t\\//\x7f../'	-
'./b.. /a..\x00'	'a'
'/.\\\\..\t\x7f.....'	-
'\t/\t/\t\x00\\\\/.\\\x7f'	-
'/..\x7f..\x7f\\...'	-
'\x7fb'	'b'
'\t.\x7f.\x7f\t\x7f'	-
' a.'	'a.'
'/...\t\t.\x7f'	-
'..... a/.\\'	-
'\\../\\'	-
'..\x7f '	-
'\\.. \x7fa/'	-
'\x7f\x7f\\.\x00/ba\x7f'	'ba'
'..a\x00\x00/. . a\x7f'	'. a'
'\x7f a'	'a'
'\ta   /.\t\\a.'	'a.'
'.a .\\\t '	-
'.\\\\.'	-
'./..\tab/\x00\\'	-
'\ta...b\\  ..'	-
'. '	-
' .a../.b.b.'	'b.b.'
'.b/b\\'	-
'.\\.....a'	'a'
'b...'	'b.'
'.b./a\\.a.'	'a.'
'a\x7f/\\a.\tb\\/'	-
'/..//'	-
'.\t\t\\....... '	-
'//\x7f\\a .\t/'	-
' .'	-
'aaa....'	'aaa'
'a.\x7f\\a \t\x7f..'	'a'
'\x7f/'	-
'/ \t\\ b/ '	-
'/\t\\\\./'	-
'\t.b\\b'	'b'
'/\x00\\.'	-
'\\.....\t\\.ab/'	-
'a\x00b/\x7f\t\t'	-
'/\\\\\\.a\\..\x7f'	-
'.a\\\\\\./'	-
'..// \x00 '	-
'\\  \\/.\\/'	-
'\t\x7f'	-
'..\x7f\\/ .\t/../'	-
'\\\x00'	-
'..a/\x7fa\t\x7f.../'	-
'\x00\\.a\\/\x00.'	-
'a ab\x7f\\\\ '	-
'\\\t\\....\x7fa'	'a'
' \x7f\x7f'	-
'.a\\\x7f.b'	'b'
' ...'	-
'...b\x7f.'	'b.'
'./a'	'a'
'\\\t.\\ \\a/\\\\\\'	-
'\\a/a.\x00 '	'a.'
'/\\ .\x7f.\x00/.'	-
'.\x00/'	-
'..../. '	-
'b..../b\\/\x7f\t..'	-
'.a\x7f...\\b'	'b'
' /...'	-
'.b..'	'b'
'/\\.b/\\a\\'	-
'..... \\b\t \\bb'	'bb'
' .\x7f.\\/\x7f/...'	-
'./.a\\...'	-
'bbab\x00.a....'	'bbab.a'
'baa.../\x00/\x7f..'	-
'. ..'	-
'/./a.\\ '	-
' /'	-
'..a\\..//\x00\\b\\b '	'b'
'//\x00.\t'	-
'.//'	-
'..\x7f'	-
'\t\tb/...'	-
'\x00.\\.'	-
' .. /\\/'	-
' \x00\x7f\\..\t'	-
'\x7f/./\\aaa\x00aba'	'aaaaba'
'a\\ \\/\\\\/a\x00\\'	-
'..a\\\t'	-
'\\\x7f/.\x7f ..'	-
'\\\\\\ b.a'	'b.a'
'..\\'	-
'\\\x00\\.b\t\\/ '	-
'a//\x7f..\x7f\x00..'	-
'b\\.bb/.\\a'	'a'
'..\x7f\\\\.\\b.\x7f'	'b.'
'/\x00a.\\'	-
' \t .../.\x7f\t/\x7f'	-
'.\x7f/...a.a'	'a.a'
'a..a..\x00b...'	'aab.'
'/b\x7f\\....\\../.'	-
'b ///..\t/'	-
'/..\x00\x00b..\t//'	-
'a/\t/.'	-
'////\\a/'	-
'b.\x00\x7f....'	'b.'
'..\\/\x7f/\\\\\x00.'	-
'\\\\\\ /\x00\\..'	-
'/.b./\\..\\'	-
'\x7f.\x7f\\b..\x00 \t\\\x7f'	-
'a\x7f.a\x00\\..\x7fb \t'	'b'
'/..\x00  \\'	-
'/\x00/\\ \\/'	-
' .../b.b./ \t'	-
'\x7f..\x7f/...b'	'b'
'..\t../\t.\x7f//.\\'	-
'\x00'	-
'..\\.\\/ a///\x7f'	-
'..\\.\\b\x00/a/b\x00a'	'ba'
'/a\t \\\x00a'	'a'
'\t\\bb.\\/./'	-
'a\x7fb.///a./'	-
'.\x7f\\b\\ \t\t'	-
'...a\t\x7f\\.../'	-
'a.b\x00/'	-
'b/. \\'	-
'\x00..'	-
'\\\taa'	'aa'
'\\\x00\x7fb......\\/'	-
'\x00\x7f..'	-
'b./ \\\x00\x7f.'	-
'ba.\tb\t\\.\x00'	-
'\x00/\\b'	'b'
'\\ //./\\../'	-
'..\x7f/\\\x7f/'	-
'./a.'	'a.'
'\\\tb\x00\x7f\x00 \x00\t..'	'b'
'\\/...\t.'	-
'/\\/./.'	-
'\t\x7f\\/.\\\t\x00\x7f'	-
'\x7f\x7f.\\\x00/\ta'	'a'
'.../ ..\t..\\.'	-
' ...\x7f /\\.a\\\x7f'	-
'b'	'b'
'..\\a...a\x7f\t\x7f.\x7f'	'a.a.'
'\taa\x7f\\.\t./a\\\\'	-
'\\/..b\\.b\x00\\.\\'	-
'..\x7f\\\t  \\\t...'	-
'..\\\x00a/\\'	-
'\x00\x00.\x00//'	-
'/b/...../..'	-
'\x7f........\\\x00/'	-
'\\\\\\\t\x7f'	-
'....\\\\\\...\\//'	-
'.\\/\x7f\x7fa ./.'	-
'/\x7f\\abb.a.baa'	'abb.a.baa'
'/bb/\x00\t \\a\x00..'	'a'
'...\t/.b ...\t\x00'	'b .'
'..\\\\'	-
'/..\t'	-
'a//'	-
' . ../'	-
' \x00'	-
'\\\ta\x00/'	-
'\\\\..\\'	-
'/.\x7f/. /'	-
'\t/.\x7fbb......'	'bb'
'\x7f.b\\aa'	'aa'
'\t\t/.\x7f\\'	-
'/\t\x00/../\x00'	-
'.b\x00b\t/\\\\ \x7f'	-
'..b/  ../a'	'a'
'\\/b \x7f..\\\t\\'	-
'a/..\\'	-
'/../\\..b\x00\tb'	'bb'
'\\b'	'b'
'a...'	'a.'
'\x7f.'	-
'a..a.a\\.\x7f.a\\.'	-
'...\\/...'	-
'\t\x7fa'	'a'
'./a\x00....'	'a'
'\\\\...\x00\x00..\x7f.\\\\'	-
'..\x7f/\x7f..\x00\\\\\x7f/'	-
'. .ba\x7f....\\'	-
'.....\x7f/a\\.  .\x00'	'.'
'\t\x7f\x7f\\/\x7f'	-
'/..\\ '	-
'\t\\/..'	-
'\\\tb.\\\x00 \t\\.. \t'	-
'/\\b\tb... \\\x7f'	-
'.\t'	-
'...\x00b\x7f.aa....'	'b.aa'
'\x7f..\x7fb\x00a'	'ba'
'...\t\\'	-
'. \\///.//\x7f\\ '	-
'\t..\\\\/b\x7f\x7f\\\\'	-
'\\. a/\t\x7f//\\ b'	'b'
'\\\\a...\x7fa.\x7f/ .'	-
'../ab\\\x7fab  .\x00'	'ab  .'
'.\x7fb/a\\...\\'	-
'b//\t\\b\x7f\x00.'	'b.'
'.\\.\x7faa\x00.\x00/'	-
'// '	-
'//\\./'	-
'/\x00..\x00/.\x7f\t'	-
'\x7f\\a\\ ..\\\t...\\ '	-
'.\t.a.\\\\/  '	-
'.  /.. \\ '	-
'\t\x00'	-
'./\\b ..\x00 \x7fa\\'	-
'b..\x7f./\x7f'	-
'\x7f\x7f..\x00'	-
'..b/.\t  //.'	-
'...\x7f'	-
'b.'	'b.'
'bb /\t\t/\\a.'	'a.'
'.a\t.\\'	-
'ab\\ '	-
'b\ta\\\tb'	'b'
'\x7f /'	-
'b..a'	'ba'
'\x00\x7f'	-
'/'	-
'..\t.\t\x00.'	-
'a...\\\\'	-
'\x00/\x7f./\t\t'	-
'.\x00/\x7f\x7f....\x00\x7f'	-
'\x7f \x7f//.\x7f/\\.'	-
'/.\x7f.b\\'	-
'/a'	'a'
'..a\\a/..b'	'b'
'\x00\x7f\x00. \x00'	-
'.\\.//.\x00..'	-
' ..\x7f.\x00'	-
'\x7f/ /.\t..\x7f'	-
'\\/\x7f....'	-
'\x7f.\\.\\\\./ .'	-
'..\x00\\ '	-
