# The complex filter backend's truth table, recorded from the Django app this replaced, which is gone; regenerating it is no longer possible and it does not change
{"is_archived":false}	AND(archived_at__isnull=true)
{"is_archived":"true"}	AND(archived_at__isnull=false)
{"is_archived":"false"}	AND(archived_at__isnull=true)
{"is_archived":1}	AND(pk__in=<every-row>)
{"is_archived":0}	AND(pk__in=<every-row>)
{"start_date":"2026-01-02"}	AND(start_date__exact="2026-01-02")
{"start_date__range":"2026-01-02,2026-02-03"}	AND(start_date__range=["2026-01-02","2026-02-03"])
{"target_date":"2026-01-02"}	AND(target_date__exact="2026-01-02")
{"target_date__range":"2026-01-02,2026-02-03"}	AND(target_date__range=["2026-01-02","2026-02-03"])
{"created_at":"2026-01-02"}	AND(created_at__date="2026-01-02")
{"created_at__exact":"2026-01-02"}	AND(created_at__date="2026-01-02")
{"created_at__range":"2026-01-02,2026-02-03"}	AND(created_at__date__range=["2026-01-02","2026-02-03"])
{"updated_at":"2026-01-02"}	AND(updated_at__date="2026-01-02")
{"updated_at__range":"2026-01-02,2026-02-03"}	AND(updated_at__date__range=["2026-01-02","2026-02-03"])
{"priority":"high","state_group":"started"}	AND(priority__exact="high",state__group__exact="started")
{"assignee_id":"11111111-1111-1111-1111-111111111111","priority":"urgent"}	AND(issue_assignee__assignee_id="11111111-1111-1111-1111-111111111111",issue_assignee__deleted_at__isnull=true,priority__exact="urgent")
{"or":[{"priority":"high"},{"priority":"low"}]}	OR(priority__exact="high",priority__exact="low")
{"and":[{"priority":"high"},{"state_group":"started"}]}	AND(priority__exact="high",state__group__exact="started")
{"not":{"priority":"high"}}	NOT(AND(priority__exact="high"))
{"OR":[{"priority":"high"},{"priority":"low"}]}	AND()
{"AND":[{"priority":"high"}]}	AND()
{"NOT":{"priority":"high"}}	AND()
{"or":[{"and":[{"priority":"high"},{"is_draft":false}]},{"not":{"state_group":"backlog"}}]}	OR(AND(is_draft__exact=false,priority__exact="high"),NOT(AND(state__group__exact="backlog")))
{"and":[{"or":[{"priority":"high"},{"priority":"urgent"}]},{"assignee_id":"11111111-1111-1111-1111-111111111111"}]}	AND(OR(priority__exact="high",priority__exact="urgent"),issue_assignee__assignee_id="11111111-1111-1111-1111-111111111111",issue_assignee__deleted_at__isnull=true)
{"not":{"not":{"priority":"high"}}}	AND(priority__exact="high")
{"or":[{"priority":"high"}]}	AND(priority__exact="high")
{"or":[{"or":[{"or":[{"or":[{"priority":"high"}]}]}]}]}	AND(priority__exact="high")
{"or":[{"or":[{"or":[{"or":[{"or":[{"priority":"high"}]}]}]}]}]}	ERR	max_depth_exceeded	Filter nesting is too deep (max 5); found depth 6
{}	NONE
{"or":[]}	ERR	invalid_operator_children	'or' must be a non-empty list of filter objects
{"and":[]}	ERR	invalid_operator_children	'and' must be a non-empty list of filter objects
{"or":{"priority":"high"}}	ERR	invalid_operator_children	'or' must be a non-empty list of filter objects
{"and":"x"}	ERR	invalid_operator_children	'and' must be a non-empty list of filter objects
{"not":[{"priority":"high"}]}	ERR	invalid_not_child	'not' must be a single JSON object
{"not":"x"}	ERR	invalid_not_child	'not' must be a single JSON object
{"and":[{"priority":"low"}],"or":[{"priority":"high"}]}	ERR	multiple_logical_operators	A filter object cannot contain multiple logical operators at the same level
{"or":[{"priority":"high"}],"priority":"low"}	ERR	mixed_operator_and_fields	Cannot mix logical operator 'or' with field keys at the same level
{"or":["x"]}	ERR	invalid_operator_child_type	All children of 'or' must be JSON objects
{"or":[{}]}	ERR	empty_filter_object	Filter objects must not be empty
{"nonexistent":1}	ERR	invalid_filter_field	Filtering on field 'nonexistent' is not allowed
{"priority__gte":"high"}	ERR	invalid_filter_field	Filtering on field 'priority__gte' is not allowed
{"priority":[]}	ERR	empty_list_value	List value for 'priority' must not be empty
{"priority":{"a":1}}	ERR	invalid_value_type	Value for 'priority' must be a scalar, null, or list/tuple of scalars
{"or":[{"priority":{"a":1}}]}	ERR	invalid_value_type	Value for 'priority' must be a scalar, null, or list/tuple of scalars
{"priority":"nonsense"}	ERR	invalid_filterset	Invalid filter parameters
{"state_id":"not-a-uuid"}	ERR	invalid_filterset	Invalid filter parameters
{"created_at":"not-a-date"}	ERR	invalid_filterset	Invalid filter parameters
{"start_date__range":"2026-01-02"}	ERR	invalid_filterset	Invalid filter parameters
{"priority":null}	AND(priority__exact="")
{"state_id":null}	AND(state_id__exact=null)
{"assignee_id":null}	AND(pk__in=<every-row>)
{"assignee_id":""}	AND(pk__in=<every-row>)
{"state_id":""}	AND(state_id__exact=null)
{"state_id__in":""}	AND(state_id__in=[])
{"priority__in":""}	AND(priority__in=[])
{"state_group__in":""}	AND(state__group__in=[])
{"start_date":""}	AND(start_date__exact=null)
{"created_at":""}	AND(created_at__date=null)
{"is_draft":null}	AND(is_draft__exact=null)
{"is_archived":null}	AND(pk__in=<every-row>)
{"is_draft":2}	AND(is_draft__exact=true)
{"is_draft":3}	AND(is_draft__exact=false)
{"is_draft":"2"}	AND(is_draft__exact=true)
{"state_id":"11111111111111111111111111111111"}	AND(state_id__exact="11111111-1111-1111-1111-111111111111")
{"state_id":" 11111111-1111-1111-1111-111111111111 "}	AND(state_id__exact="11111111-1111-1111-1111-111111111111")
{"state_id__in":"11111111-1111-1111-1111-111111111111,"}	AND(state_id__in=["11111111-1111-1111-1111-111111111111",null])
{"state_id__in":","}	AND(state_id__in=[null,null])
{"created_at__range":"2026-01-02"}	AND(created_at__date__range=["2026-01-02"])
{"created_at__range":"2026-01-02,2026-02-03,2026-03-04"}	AND(created_at__date__range=["2026-01-02","2026-02-03","2026-03-04"])
{"created_at__range":""}	AND(created_at__date__range=[])
{"start_date__range":""}	AND(start_date__range=[])
{"start_date__range":"2026-01-02,2026-02-03,2026-03-04"}	ERR	invalid_filterset	Invalid filter parameters
{"start_date":"2026-1-2"}	AND(start_date__exact="2026-01-02")
{"start_date":"01/02/2026"}	AND(start_date__exact="2026-01-02")
{"start_date":"2026-01-02T00:00:00Z"}	ERR	invalid_filterset	Invalid filter parameters
{"priority":"HIGH"}	ERR	invalid_filterset	Invalid filter parameters
{"priority__in":"high,nonsense"}	AND(priority__in=["high","nonsense"])
{"priority":1}	ERR	invalid_filterset	Invalid filter parameters
{"state_group":1}	AND(state__group__exact="1")
